ID,Country_name,Hotel_name,Rating,Site_Name,Review
29,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Un endroit magnifique , des chambres sublimes et un staff qui a pour la plupart fait l effort de parler français.
Situation centrale 
Spa magnifique et massage top
Un pdj extraordinaire.
Un des plus beaux hôtels où nous avons séjourné et nous en avons vu beaucoup !
"
30,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,A very beautiful hotel with great restaurants and bar. We had a 2 rooms suite what was really very luxury. The food in bar Bulot was great. Henry’s bar is maybe the best bar I have ever seen. Breakfast was so unbelievable good. This hotel is a must do!!!
31,Belgium,Botanic Sanctuary Antwerp,3,Tripadvisor,"We stayed with two friends for three nights. Check in took forever and then we were taken to our freezing rooms. Two rooms of three had no heating - in December. We had to have an electric heater put in. Our friend was told at check out ‘ oh yes we heard about that’. No apology. No offer in recompense. Meanwhile I had been trying to book restaurants through the conceirge, giving them a weeks notice. They did not manage to book a single one of those I listed and their own suggestions were really dull. In the end I booked them all myself save for our last night when we were going to eat in the hotel. When we turned up, they had lost the booking and, instead of inviting us in to the bar while we waited for it to be sorted out ( I had email proof) we were left in a passage. I insisted we were sat in the bar where we were lucky to find room, albeit at a table with a dog bowl on it. The fiod and drink in the restaurant ( Henry’s bar) was not great. The caesar salad was made with cooked lettuce and we were asked to wait for the wine as they had none of what I ordered chilled. Happily they then found a cold bottle. They had also lost my booking for the spa that day, though again they managed to get me in. Plus the walk to the spa is down a chilly corridor. We have stayed at other ‘leading hotels of the world’ and had a very good experience. Good hotels are all about the detail.. the staff were nice but appeared to be very poorly managed or trained"
32,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Ongelooflijk leuke ervaring - alles tot in de puntjes in orde. Het hotel, de service, de kamer, de gym, de spa, de restaurants, alles is een luxueuze belevenis!
Het was een geweldige ervaring om hier te logeren."
33,Belgium,Botanic Sanctuary Antwerp,4,Tripadvisor,"L’hotel è favoloso e merita 5 stelle , è in centro città ma crea un oasi di pace e gradevolezza . Un mix di storico e moderno con il filo conduttore della natura. Davvero una bellissima esperienza. 
Il personale è molto gentile, soprattutto Vincent ci è stato davvero prezioso . 
La ristorazione è l’unico punto debole . Hanno l’arroganza degli stellati ma i risultati sono deludenti . 
Primo punto debole : ordini un vino pregiato , lo aprono e lo versano . 
Cosa impensabile persino nei peggiori bar di Cuba! . Regola vuole che Tu il vino me lo fai prima provare, se va bene lo versi … 
In definitiva il personale che serve non è all’altezza . Soprattutto la signora bionda, una tragedia . Peccato perché il resto è davvero top. Pure la colazione."
34,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Van begin tot einde een geweldige ervaring, met zeer vriendelijk en behulpzaam personeel.
De suite was prachtig! En het diner bij Fine Fleur geweldig!
De Fine Fleur Experience was een zeer geslaagde ervaring."
35,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"We enjoyed our stay a lot.
This hotel is so special with its layout, look and feel, the quality of its restaurants.
It was a fantastic stay that we had there. The Spa and health club were very well equipped. 
The breakfast is really awesome: an abundance of choice.awaits you and the staff is so friendly and caring.
I would recommend to stay here when visiting Antwerp."
36,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,In een woord top! Alles was tot in de puntjes verzorgd. Iedereen van het personeel liet je welkom voelen en was zeer attent. Prachtige serene omgeving midden in een drukke stad. Wij komen zeker nog een keer terug.
37,Belgium,Botanic Sanctuary Antwerp,1,Tripadvisor,"Nous n’avons pas eu l’occasion de nous y rendre puisque j’ai perdu mon temps à échanger avec eux durant 5 jours (quand j’avais la chance d’avoir une réponse sans les relancer) pour les entendre me dire qu’aucune solution ne me sera proposée face a leur erreur. 
Réaction indigne d’un établissement aussi « prestigieux » surtout face a la problématique que nous avions. 
Je ne recommande pas du tout…
"
38,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Very beautiful hotel located not far from the shops and the city center. Clean and cozy, with very friendly staff and amazing restaurants. Highly recommend it for a chill gourmet weekend with a spa experience! "
39,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Fijn hotel, goede restaurants, rustige ligging en toch centraal. Personeel zeer vriendelijk en behulpzaam. Fijne kamers, goed ingericht en een regendouche die echt werkt. Zwembad en spa faciliteiten, ruim, schoon en veel licht.   "
40,Belgium,Botanic Sanctuary Antwerp,2,Tripadvisor,"In the end it is all about the (lack of) hospitality 
The check-in experience in this hotel was not flawless; we booked two rooms and it took a while before everything was sorted out with ID’s and credit cards. We were told to choose a time slot for breakfast. Apparently there is not enough space for everyone. A bit surprising for a 5 star hotel we thought. But we selected the 9.00 - 10.30 H slot. Then we received our keys and were escorted to our rooms. Again confusing as the lights did not go on when entering the room. The lady had to go back to the reception to fix it. On the card I received with key it said another room number than the one we were given. A bit sloppy I would say and not really up to the standards. 

But things went sour when we went for breakfast the next day at 09.00 H. Upon announcing ourselves the lady at the counter bluntly said we had no reservation for this time slot (actually they couldn’t find us at all on their list in the beginning). When I pointed out that we did book it she reacted in a very defensive way while blaming us for our “mistake”. Frankly I was shocked by the attitude. When we escalated things several staff members (mostly young and inexperienced) kept passing the blame to us and offered inadequate proposals such as: “we will give you a table but you have to leave when other guests arrive that did make a proper booking”

What it all boils down to is that the staff never genuinely apologized and never showed real empathy. Through the years I have learned that complaints well handled are moments of truth and often they even enhance customer satisfaction. The way our complaint was handled was dreadful. The staff time and again made us feel guilty, angry and sad. The discussion was never about the mistake and the solution but instead fully targeted on who was to blame. 
A sad story showing that a marvelous place with excellent food can still leave a bad aftertaste due to a lack of hospitality in the true sense of the word. 

My conclusion is straightforward: this place does not deserve 5 stars let alone the prices they charge. And I would not be surprised to receive a reaction pointing what we did wrong and how helpful they were in trying to assuage us."
41,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Het leukste en mooiste hotel van België? Wij hebben aan het einde van onze rondreis door België de drie laatste nachten in prachtige hotel doorgebracht en hebben genoten. Prima ontvangst met glaasje bubbles of een frisje en een macaron. Kamer 110 was een fijne kamer aan een rustige binnenplaats. Er stond een geschenkje klaar met een handgeschreven kaart voor mijn partner die jarig was en dat wa heel attent.De eerste avond hebben we heerlijk gedineerd in Bar Bulot en ook daar werd er bij het dessert ter gelegenheid daarvan ‘vuurwerk’ afgestoken. Wat een feest in dit hotel om in de prachtige bar een heerlijke cocktail te drinken. Bestel wat van die mooie zalmrondjes of ander lekkers. Geniet van alle mooie planten en de alom aanwezige originele balkenplafonds. Overal zeer behulpzaam en vriendelijk personeel. Geniet ervan wordt vaak in de mond genomen.. 😊
En dat is het…prachtige (top) restaurants, een goed ontbijtbuffet, een heerlijke spa en een ideale ligging om mooi te winkelen of naar het prachtige Koninklijke Museum voor de Schone Kunsten te gaan. Wij komen heel graag weer terug. "
42,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Een pareltje in de stad Antwerpen voor de volledige onthaasting. Luxe, relax, wining en dining, voor elk wat wils. Bravo aan het team dat voor u klaarstaat, vol passie en overgave. We komen zeker terug."
43,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Okay, it is not cheap. One might say that the room and it's decoration is not worth triple the amount of other Antwerp hotels. However, there will never not be anyone available to help you with whatever you need. The atmosphere is unmatched, as is the service. We've stayed in many 5-star hotels and this is how it should be. Would not consider any other place if we are going back to Antwerp, no, I would think of reasons to go back to Antwerp to stay here again. We stayed in a Deluxe room in the 'st. Joris' part which was very well equiped and spacious. "
44,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Botanics first Gala for 130 People was for us a succes. Nice reception, super diner with splendid food Selection. At the hotel we had nice luxury rooms. We did get our request for a quiet room because of the Gala. A good place to be and combi wit the city trip."
45,Belgium,Botanic Sanctuary Antwerp,4,Tripadvisor,"The hotel has a beautiful lobby and grounds. The room was simple but beautifully decorated. We ordered in room service and the food was delicious.

We loved the spa area and pool, architecturally is a masterpiece.

I found the pool water and ""hot tub"" area very cold.

I didn't use the hot tub because it was not hot at all. I didn't see anybody to get a drink or to order anything at the pool area.

Breakfast was good with a good assortment of food."
46,Belgium,Eurostars Montgomery,5,Google Reviews,"The welcoming staff at the Eurostars hotel are the reason for the 5 stars. The hotel is well located in a lovely close-in suburb, very convenient for business and leisure travelers.  Rooms are good and spacious. Breakfast sufficient. Would definitely return to the hotel."
47,Belgium,Eurostars Montgomery,3,Google Reviews,Stayed here because they have an indoor garage as we were coming by car. However the experience started a bit badly… We asked the boy to open the doors for us as we were blocking the entrance. He told us he will do it right away but then he …
48,Belgium,Eurostars Montgomery,3,Google Reviews,"The parking garage is very cramped and difficult to navigate. The room was spacious, the bed was fine but in general the decor is old-fashioned. I was put on the first floor on the street side. It was noisy, but thankfully, I always bring …"
49,Belgium,Eurostars Montgomery,5,Google Reviews,"Excellent. professional service, very clean hotel. The bed was comfortable and new.
Wonderful breakfast. Very good hotel for business travel."
50,Belgium,Eurostars Montgomery,5,Google Reviews,"Due to our own mistake, we booked the date of stay wrong, but staff showed great understanding and they easily changed the reservation without any charges (it's unheard of, right?).  The room was a bit retro but big and clean and the hotel …"
51,Belgium,Eurostars Montgomery,2,Google Reviews,"I wanted to stay here for a long time as everyone was saying good things about this hotel...THIS IS NOT A 5* HOTEL, never, not in a million years. First time I called the hotel, the receptionist answered in English, for me no problem but …"
52,Belgium,Eurostars Montgomery,5,Google Reviews,朋友推薦的酒店，也在網上對比了好幾家其他酒店，這家不論位置，設施，衛生，環境，還是服務都很滿意，五星好評。
53,Belgium,Eurostars Montgomery,5,Google Reviews,"Our stay at the Eurostar Montgomery was excellent. Although we arrived early, 4 hours prior to published check in time, our room was ready and we were allowed access. This was a tremendous boost for our entire trip as we had just finished …"
54,Belgium,Eurostars Montgomery,5,Google Reviews,"Location, classic and stylish interior, majestic exterior, spacious rooms, hospitality, service, breakfast, cleanliness, gym and sauna: all ingredients for a really nice stay in Brussels. We loved every second of our stay here. And it’s …"
55,Belgium,Eurostars Montgomery,5,Google Reviews,Really worthy that price. Fabulous breakfast. Perfect clean.
56,Belgium,Eurostars Montgomery,3.2,Google Reviews,"Triple room, the room is quite big, an old-fashioned hotel in Brussels, the service attitude is mid-range, breakfast is 15 euros per person. It's not expensive, but there are not many choices, and it doesn't look rich. In terms of location, …"
57,Belgium,Eurostars Montgomery,4,Google Reviews,"Great place for business travel. Hotel has a small parking hall, so convenient to come with a car and use public transport to get to City Centre. Metro is right next to the hotel. …"
58,Belgium,Eurostars Montgomery,5,Google Reviews,"Extremely comfortable hotel. Access from metro is very useful and is within very easy walking distance. The lobby was extremely well decorated and well lit and the dining area was comfortable. Breakfast provides a wide variety of options, …"
59,Belgium,Eurostars Montgomery,5,Google Reviews,"I spent 2 days - room was very spacious and clean, personnel friendly and breakfast for the job => overall very good experience for me, I recommend."
60,Belgium,Eurostars Montgomery,5,Google Reviews,Very spacious and clean rooms with many facilities available. Staff also very friendly and helpful. :) Easy access to trams and metro so the location is also very good.
61,Belgium,Eurostars Montgomery,4,Google Reviews,"I stayed at this hotel a business trip. Location is amazing, a bit away from touristic city centre but surrounded by several cafes, bars, super markets and restaurants. Very well connected to public transport. There is a huge park close to …"
62,Belgium,Eurostars Montgomery,3,Google Reviews,Was there to sleep overnight in perspective of a great Tomorrowland week end. Nothing to say more that perhaps this hotel is over rated and requires some renovation. It looked to me to go back in the ‘80s …..
63,Belgium,Eurostars Montgomery,4,Google Reviews,"The Eurostars Montgomery is a very nice hotel, close to the European institutions. The framework of the hotel is very nice. The rooms are clean and the staff is very nice."
64,Belgium,Eurostars Montgomery,4,Google Reviews,"Spacious, lovely & comfortable rooms.  Lovely designed bathrooms. Lobby lounge and breakfast area is tastefully decorated.
Located in front of the metro and tram stop (Montgomery) some 7 mins from …"
65,Belgium,Eurostars Montgomery,1,Google Reviews,"Good location, terrible service. Staff gave me a room next to the elevator which kept waking me up. When I asked to leave a comment they gave me a piece of paper, saying they don’t take comments"
66,Belgium,Eurostars Montgomery,1,Google Reviews,Staff need to be trained on hospitality and courtesy. Queen bed is not actually a queen size but two smaller ones put together. Air-conditioning is broken. Furniture are old. Trimmings on the walls are falling apart. The floor lobby reeks …
67,Belgium,Eurostars Montgomery,3,Google Reviews,"The hotel scored the basics with a clean room and friendly staff. However, the restaurant is in need of improvement. The meal was not worth the price and is very limited in choice. The rooms were extremely dated and dark. The hotel will do for a quick visit to Brussels but it could do with a renovation."
68,Belgium,Eurostars Montgomery,3,Google Reviews,Bit dated compared to other hotels. I stayed for 3 nights and stay was effected by building work. This should mean others have a better stay than I had. Food was good. I left some cosmetics at the hotel and the staff held on to them and were very helpful to allow me to get them back.
69,Belgium,Eurostars Montgomery,5,Google Reviews,"Polite and helpful staff. Rich and tasty breakfast. Spacious rooms. Credible but rather slow wifi for free. Has a restaurant which also serves as a bar. Really close to the subway. The room I was in needed touches of renovation. Additionally, you can feel the subway passing under the hotel."
70,Belgium,Eurostars Montgomery,3,Google Reviews,"To be honest, the 5 star rating does not match the quality of the hotel. The rooms need some updating as some parts looked used and weary. The rooms are dark even with all lights on (and the light system is unnessesarily complicated). The …"
71,Belgium,Eurostars Montgomery,3,Google Reviews,"I think this one used to be great, but now it's a bit shabby. I've seen bruised furniture, issues in the ceiling ornaments, broken window locks, waving hot water. Also, the breakfast was no buffet, you had to enlist the previous day for a breakfast the next morning. Price was high, but wonder if worth it..."
72,Belgium,Eurostars Montgomery,3,Google Reviews,"We stayed for 3 nights, the bed was uncomfortable  but the room was lovely, we had a hanger on the door to not come in but cleaners did, there was trash on the stairs for the days that we were there. The lady who checked us out was very …"
73,Belgium,Eurostars Montgomery,5,Google Reviews,"A good looking (inside and out) hotel with friendly personel and a really delicious breakfast. Every morning fresh food and drinks and champagne is also served. Besides, it's very clean in the hotel. Overall the interior looks and feels …"
74,Belgium,Eurostars Montgomery,4,Google Reviews,"Nice and compact. Room space adequate. I find this place comfortable, plus the staff are friendly. Breakfast is good, internet is fast and free. Located in an area full of restaurants, so lots of choices for the foodies!"
75,Belgium,Eurostars Montgomery,4,Google Reviews,"Beautiful hotel, comfortable rooms, but the kitchen and restaurant is rigid, not flexible about closing times. They are not accomodative of travelers who might not be able to dine within the times when they r open"
76,Belgium,Eurostars Montgomery,4,Tripadvisor,"Buen hotel, con habitaciones amplias y cómodas. Quizá un poco anticuado, le vendría bien una renovación. Personal muy atento y amable. Situado cerca del metro para estar en el centro en 15-20 minutos.
Sólo falló el desayuno, poca variedad y no reponían lo que se acababa ( bollería, zumo…)"
77,Belgium,Eurostars Montgomery,5,Tripadvisor,"Ottimo hotel in posizione strategica la metro e a 10 metri accoglienza molto buona con ottimi servizi la stanza full optional, l’unica pecca i lavori in corso che hanno limitato il relax della colazione che si svolgeva in una saletta angusta. Hotel che consiglio assolutamente."
78,Belgium,Eurostars Montgomery,3,Tripadvisor,"I really like this hotel, because it’s very cozy, nice stylish oldish decoration and great staff

This time, it was on renovation so some facilities weren’t that good, but that’s temporary

The rooms are well cleaned and quiet.
Just beside public transport"
79,Belgium,Eurostars Montgomery,1,Tripadvisor,"Cuando se reserva un hotel de cinco estrellas, uno no se  espera encontrarse con una casa decimonónica, que respira por todos lados dejadez, falta de cuidado , de mantenimiento y limpieza. Cuando un huésped tiene que salir antes de la hora de comienzo del servicio de desayuno , hablo de las 7:30 , un hotel de esta supuesta categoría prepara un box de catering,  acorde a la supuesta
categoría; en este caso, para ellos un sándwich de jamón York y queso húmedo, una manzana , y un café , todo preparado por el recepcionista , porque no había nadie en cocina . Una vergüenza . Señores las 5 estrellas se tienen algo. Con claridad el responsable del hotel, de la empresa es un sinvergüenza (desfachatez, falta de vergüenza) y me contengo porque tengo educación . Lo único que merece destacar es la delicadeza , atención del personal; recordar a Alba, Ángel y qué perdone el resto que no recuerdo . Conclusión , el hotel es viejo  y mal conservado.  Un engaño y una clara muestra, que las páginas de Internet que aconsejan y destacan los servicios de estos establecimientos  , en muchas ocasiones falsean la realidad . Una lástima siendo una empresa española .   Gracias ."
80,Belgium,Eurostars Montgomery,5,Tripadvisor,"O hotel está  bem localizado, perto de metro, eléctrico e acoroçáreis. Restaurantes na zona. Atendimento na recepção muito simpático e disponível para ajudar. O quarto é  espaçoso e confortável. Pequeno almoço variado e com grande variedade."
81,Belgium,Eurostars Montgomery,4,Tripadvisor,"I stayed at the Eurostars Montgomery for two nights while in Brussels for business. The welcome I received upon arrival was friendly, good-humoured, and genuine. The room was spacious and comfortable. 
Proximity to the metro is excellent and it is an easy (and pleasant) walk to the European Parliament."
82,Belgium,Eurostars Montgomery,5,Tripadvisor,"Suite muy amplia y acogedora. Desayuno variado y de calidad. Personal super amable y casi todos hablan español. Está en una zona alejada del centro pero muy tranquila, además hay una boca de metro con líneas que te dejan cada 5 min en el centro histórico."
83,Belgium,Eurostars Montgomery,1,Tripadvisor,"Travelling with handicapped children, reception crew was absolutely horrible and totally ruins the experience. Rooms are spacious but noisy and overpriced. There are many much better hotels in Brussels area. Traveling often to Brussels for business with our without family, I will never ever go to this one again. "
84,Belgium,Eurostars Montgomery,2,Tripadvisor,"Habitué d'hôtels 5*, je ne sais pas qui a peut attribuer 5 étoiles à cet Hôtel à part pour la chambre qui est plutôt grande. Le booking en ligne avait des problèmes informatiques et n'acceptait pas les cartes de crédit. L'hôtel envoie alors un formulaire à compléter et demande une copie de votre carte de crédit (recto/verso) et de votre carte d''identité à envoyer par mail (car l’email s’est vraiment une garantie de sécurité !). Après plusieurs arguments au téléphone depuis l'étranger, la réception accepte la réservation (sans carte de crédit). Le lendemain, le staff du lundi remet ça et les arguments recommencent. Et ce n'est que le début : la chambre est spacieuse oui, mais la robinetterie de la salle de bains est entartrée, le coffre de sécurité dans l'armoire est à hauteur du sol, donc inutilisable sauf si vous vous mettez à plat ventre sur le sol ; il y a du chewing gum sur le dossier de la chaise de bureau. Dans une salle à manger à l’atmosphère glaciale et sise dans un couloir de passage, le petit déjeuner buffet est plus que minimaliste, aucun produit bio, quelques fruits pas mûrs sortant du frigidaire, il faut faire la queue à la machine à café qui produit un très mauvais expresso, AUCUN service. Le samedi ce n’est pas avant 8h00 (donc le client qui travaille n’a pas son petit déjeuner avant de quitter l’hôtel) et c’est seulement à 8h00 que le personnel dresse le buffet, le pain arrive à 8h15 sortant du four et est tellement chaud que c’est indigeste. La chambre n'est pas faite avant 15-16H et si vous demandez qu’on la fasse il faut 40-45 min avant que quelqu’un ne se déplace ! Il y a un manque de personnel manifeste, manque de communication et de coordination du staff, Bref absolument pas orienté pour le business. Donc pas un 5* et à éviter si vous pouvez trouver ailleurs pour le même prix."
85,Belgium,Eurostars Montgomery,5,Tripadvisor,"Hemos estado alojados 4 días en este hotel y la experiencia ha sido realmente buena. 
Habitación amplia, y cama cómoda.
No está céntrico pero está muy bien comunicado con el centro por metro y tranvía.
Buen desayuno y lo mejor su personal, agradecer el trato recibido por parte de todos."
86,Belgium,Eurostars Montgomery,5,Tripadvisor,"El hotel nos encantó. Personal amabilísimo que te atiende en castellano. Las habitaciones muy amplias y limpias. El desayuno muy correcto. No se encuentra en el centro pero tiene la parada de metro prácticamente en la puerta. En la zona se puede aparcar, se trata de zona azul de pago de 9 a 17 los días laborables pero no hay límite máximo de horas. "
87,Belgium,Eurostars Montgomery,4,Tripadvisor,"Questa struttura dispone di camere di tutto rispetto, personale cordiale e simpatico e si trova proprio accanto alla metro che vi porta ovunque. Consigliatissimo. Non metto il massimo del punteggio per due fattori: uno è il fatto che vi è un solo ascensore che serve tutti e sette i piani e i tempi di attesa possono essere lunghi e il secondo motivo è che il parcheggio privato non è prenotabile e può capitarvi di arrivare e non trovare posto. In quest'ultimo caso vi consiglio di parcheggiare nelle strisce a pagamento nei dintorni che sono attive dalle 9 alle 18. Per tutta la giornata abbiamo pagato circa 13 euro contro i 15 che richiede la struttura però per un posto al chiuso e ci sta tutto!"
88,Belgium,Eurostars Montgomery,2,Tripadvisor,"Hôtel très décevant qui ne mérite pas ses étoiles. Chambre pas disponible à 16h, serviette pour taille enfant, pas de bouteille d’eau offerte dans la chambre, petit déjeuner décevant Bref juste un emplacement calme avec tous les transports"
89,Belgium,Eurostars Montgomery,3,Tripadvisor,"Definitely not a 5 star hotel, and not at all a 5 star breakfast… 

If you book this hotel, do yourself a favor and avoid the breakfast buffet. It’s boring, and if you’re not the first ones to eat, you can expect a half-empty buffet and have to ask the staff for things to be filled. Simple things as water weren’t getting refilled. 

Regarding the rooms, they were ok and big. Besides 2 month old soda in the minibar… 

Also the bar is never open. We asked two days in a row at different times of the day and still couldn’t get anything from the bar. 

This hotel is not worth the price"
